num_trains,name,t1,t2,t3,t4,t5,t6,t7,t8,t9
20,s_1,4.0,12.0,8.0,12.0,8.0,12.0,8.0,12.0,10.0
20,x_1,10.0,6.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,r_1,0.0,2.0,12.0,8.0,12.0,8.0,12.0,8.0,10.0
40,s_1,4.0,14.0,14.0,26.0,14.0,26.0,14.0,32.0,36.0
40,x_1,10.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
40,r_1,0.0,-0.0,14.0,14.0,26.0,14.0,26.0,8.0,4.0
60,s_1,4.0,10.0,17.0,24.0,14.0,38.0,46.0,55.0,56.0
60,x_1,10.0,12.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0
60,r_1,0.0,4.0,9.0,17.0,24.0,14.0,14.0,5.0,4.0
80,s_1,4.0,9.0,16.0,23.0,14.0,42.0,59.0,69.0,70.0
80,x_1,10.0,16.0,41.0,1.0,5.0,-0.0,-0.0,-0.0,-0.0
80,r_1,0.0,-0.0,-0.0,16.0,23.0,14.0,8.0,5.0,4.0
