VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
0,0,0,0,0,0,0,0,0
44,116,427,107,574,114,82,9,2
0,60,67,36,54,20,12,4,0
0,43,76,15,13,19,3,2,0
31,249,833,166,411,156,90,25,2
9,27,198,132,128,765,423,57,9
29,94,408,174,303,905,419,72,8
4,6,25,72,44,289,110,13,0
19,241,668,170,430,604,196,21,5
14,92,234,94,135,32,31,8,0
6,26,95,213,160,281,226,53,8
67,133,440,229,351,137,55,17,1
16,41,327,139,203,1006,258,39,7
45,164,439,35,175,65,27,11,0
28,103,653,181,476,852,436,80,7
7,23,73,75,55,371,144,46,2
8,57,73,30,72,37,14,3,0
10,99,284,50,79,66,25,8,0
22,97,135,108,108,74,19,10,1
3,33,114,62,112,22,15,7,0
64,115,355,300,659,223,261,26,2
22,86,413,51,142,36,35,5,0
