VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
34,110,595,53,156,91,40,9,1
14,63,88,161,305,293,308,65,7
22,85,248,286,285,596,159,31,7
54,88,664,172,195,284,134,11,4
15,110,293,194,188,443,234,36,8
0,0,0,0,0,0,0,0,0
6,19,22,61,83,118,65,9,0
41,116,673,147,376,390,164,54,5
5,24,25,116,66,417,152,27,2
28,46,392,41,255,44,28,1,0
7,61,154,215,198,573,303,50,10
53,155,762,251,575,313,97,31,4
6,25,99,11,50,23,7,0,0
8,15,48,109,54,360,178,27,4
7,31,39,196,173,421,193,21,6
22,147,404,324,277,452,221,26,7
5,25,30,149,87,249,138,10,2
30,69,525,80,476,210,50,19,1
13,70,282,312,190,639,208,44,9
22,72,358,43,345,92,56,10,1
