VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
83,104,237,157,276,47,43,19,3
89,166,590,138,280,154,28,12,3
34,76,253,42,163,55,17,3,0
0,0,0,0,0,0,0,0,0
7,8,42,9,10,4,1,0,0
71,109,617,178,345,160,64,21,1
58,61,302,41,90,61,29,6,1
33,53,80,31,45,26,15,2,0
34,44,139,64,85,39,21,12,1
26,51,223,58,132,53,23,6,1
23,38,71,11,39,23,14,2,1
36,73,375,122,176,62,29,13,0
