VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
0,0,0,0,0,0,0,0,0
1427,5581,16071,4922,10219,4788,2195,413,40
10,1343,3132,1046,1921,904,526,125,18
0,1249,1719,291,653,406,175,38,3
1417,5578,16874,5081,10655,5301,2488,501,55
261,945,3997,5162,5279,15604,7788,1500,177
627,2457,9742,5755,8636,15253,8154,1681,195
101,327,1255,1720,1093,5312,2144,420,23
997,4671,13602,5532,9976,11611,5635,1043,137
370,2040,4945,1732,3380,1392,733,168,23
159,511,1928,4133,2948,14034,6874,1329,164
1323,5502,15131,4629,9546,4509,2091,404,37
379,1369,5474,5944,6561,17470,8869,1681,201
812,3335,9135,1604,5076,1955,864,221,19
877,3759,11083,5760,9070,14333,7690,1590,184
130,414,1660,3102,2133,10466,5049,978,112
199,1730,3435,542,1520,789,297,56,6
415,2487,6071,1201,3256,1339,691,167,15
455,2198,5659,1887,3832,1508,784,182,23
145,1600,3940,1234,2428,1038,585,140,19
1207,5489,16358,6347,11394,10701,4761,919,131
577,2839,7343,1321,3969,1423,711,184,16
