VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
46,126,751,234,618,213,126,25,1
250,810,4769,5710,6417,10914,6747,2234,279
66,195,1216,484,1273,464,292,69,5
4,14,80,80,90,93,17,5,0
98,264,1021,441,986,676,342,21,0
66,198,1154,662,1285,799,517,123,10
1,4,42,35,39,52,41,3,0
66,199,1201,626,1350,715,448,115,9
66,199,1179,647,1315,756,483,120,10
67,199,1234,597,1404,642,400,105,8
227,745,4421,5734,5923,11055,6926,2436,318
24,78,622,103,339,134,82,20,1
10,50,329,366,394,506,170,47,4
101,281,1102,486,1082,717,356,21,0
105,294,1154,551,1225,791,388,20,0
87,224,861,390,778,650,327,21,0
7,17,110,27,58,42,30,8,0
14,29,201,51,133,65,43,10,1
3,14,112,25,51,33,21,4,0
34,116,919,204,591,269,184,47,3
257,842,4990,5018,6165,8727,5922,2030,240
9,31,248,34,109,44,26,4,0
65,160,601,234,514,422,234,16,0
7,24,165,21,71,30,15,2,0
22,72,558,99,312,127,78,19,1
97,272,1137,666,1314,951,469,22,1
7,39,255,176,251,226,55,15,1
82,411,1766,2282,2519,4974,2667,733,110
53,152,906,282,787,258,150,30,2
58,172,1060,350,978,319,207,45,3
37,132,1042,241,721,333,219,52,4
69,356,1452,1537,1808,3612,1796,398,56
3,12,60,68,72,80,12,4,0
238,704,4029,2909,4447,4582,3197,1303,147
233,686,3870,2434,4247,3551,2253,982,93
37,131,1023,232,697,318,211,52,3
0,0,0,0,0,0,0,0,0
97,272,1125,598,1240,857,417,21,0
12,60,377,507,548,710,298,70,6
7,36,236,157,231,194,46,12,1
13,64,403,608,615,847,381,84,8
80,203,792,330,702,568,299,20,0
71,180,690,274,601,501,265,17,0
33,183,893,588,962,1235,727,175,30
15,72,447,695,681,979,495,104,11
64,186,1150,409,1146,378,242,54,4
144,622,2928,4344,4096,7722,4827,2218,374
67,198,1234,527,1338,524,331,88,7
21,140,937,1306,1373,2110,1302,406,46
93,244,936,424,900,665,335,21,0
12,27,94,43,95,84,52,3,0
5,22,160,109,158,135,31,9,1
40,139,1067,272,771,377,255,66,6
67,200,1242,565,1384,593,371,99,7
28,154,764,505,804,1124,630,148,28
3,9,53,9,22,13,10,2,0
36,127,999,220,666,297,202,50,3
26,94,750,125,417,167,100,23,1
20,50,336,72,215,88,59,14,1
19,114,702,888,963,1233,729,236,23
14,43,343,54,171,69,43,9,0
57,140,512,216,465,399,225,16,0
40,105,606,192,480,179,108,24,1
18,61,462,85,257,109,67,17,1
32,82,463,128,361,139,91,20,1
55,129,444,202,430,378,219,16,0
