VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
0,0,5,10,9,28,23,3,0
19,59,282,236,257,161,174,38,8
0,1,4,20,31,39,41,6,1
0,0,1,1,2,3,2,0,0
0,5,17,32,17,25,13,1,0
0,3,28,40,26,77,27,13,3
0,0,0,0,0,0,0,0,0
0,2,18,33,22,62,49,11,2
0,4,19,20,27,47,53,18,2
0,3,14,22,38,38,54,11,1
10,61,293,238,221,297,167,51,3
0,0,3,6,4,12,10,1,0
0,1,4,8,11,13,8,4,0
1,4,16,34,27,69,25,2,0
1,3,10,27,17,66,27,1,0
1,2,14,14,18,22,15,1,0
0,0,1,2,1,3,1,0,0
0,0,2,2,3,2,1,0,0
0,0,0,0,0,0,0,0,0
0,0,3,10,6,33,15,5,0
4,30,89,49,170,174,129,39,5
0,0,1,1,2,3,7,1,0
0,3,8,8,7,16,10,2,0
0,0,0,0,1,1,1,0,0
0,0,1,4,3,18,10,3,0
2,4,22,20,15,66,25,2,0
0,1,4,8,4,6,12,3,0
25,56,162,67,223,164,67,28,3
0,1,5,6,11,20,34,8,0
0,2,3,14,13,27,25,5,1
0,2,3,14,12,33,26,7,0
13,24,124,62,143,94,106,45,5
0,0,0,0,0,0,0,0,0
6,20,79,60,110,157,161,41,3
1,3,16,15,15,31,46,5,1
0,1,7,16,12,35,18,8,0
2,4,47,30,21,44,42,6,0
1,6,15,15,13,82,38,2,0
0,4,14,6,13,30,24,8,0
0,0,1,3,5,8,3,1,0
2,6,10,20,20,33,12,6,0
1,3,16,10,11,40,9,2,0
1,3,4,13,10,11,16,1,0
3,14,60,74,132,91,31,18,3
2,9,12,19,33,18,17,6,0
0,0,7,25,22,49,53,15,1
16,60,325,93,380,256,121,37,6
0,1,13,18,27,31,65,10,2
1,4,37,31,40,55,56,9,0
1,2,9,13,12,20,11,1,0
0,0,0,0,0,0,0,0,0
0,0,1,3,3,2,3,0,0
0,2,6,19,14,34,27,7,0
0,2,18,23,28,73,55,19,2
2,4,45,35,47,77,24,9,1
0,0,0,1,0,1,0,0,0
0,1,4,11,14,24,21,6,1
0,0,2,9,8,18,8,3,0
0,0,2,4,3,7,7,0,0
3,12,17,31,19,34,39,9,1
0,0,1,3,3,11,10,1,0
0,3,9,8,6,15,7,2,0
0,0,5,11,10,8,6,4,0
0,0,0,6,3,9,10,3,0
0,0,2,5,7,12,9,2,0
0,1,8,4,6,19,9,0,0
