VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
130,361,975,3991,2519,10795,4166,747,95
395,2365,9214,5291,7437,9279,4051,912,127
390,2175,8401,6217,7712,11230,5012,1245,167
243,856,2476,5306,3865,13428,5782,1451,200
376,1773,7003,7063,7340,14241,6202,1496,216
11,1778,4581,1511,2987,1412,621,161,37
50,1937,5744,1799,3767,1735,763,182,36
362,1465,4800,6083,5705,14690,5896,1192,170
282,2483,8501,2467,5792,2551,1102,252,41
17,50,111,946,421,2967,800,84,5
452,2426,9069,4484,7113,5430,2513,543,74
280,1143,3420,5857,4996,14001,6063,1558,207
0,0,0,0,0,0,0,0,0
325,2392,8736,3091,6305,2945,1290,284,45
429,2460,8941,4282,6942,4824,2246,430,60
378,1619,5562,6246,6328,14481,5843,1126,159
114,2122,7067,2054,4654,2054,902,209,37
167,600,1814,4433,3156,11615,4565,856,107
391,2222,8769,5792,7619,10463,4467,1039,145
68,222,557,2797,1663,7847,2798,349,48
